桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K89+225,17.532,0.000,7.045,-11.528,11.579,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+250,23.586,0.000,7.277,-11.804,12.215,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+275,20.367,0.000,6.890,-11.194,11.562,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+300,23.738,0.000,7.018,-11.639,11.601,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+325,23.969,0.000,7.136,-11.612,11.895,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+350,19.809,0.000,6.888,-11.186,11.591,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+375,24.325,0.000,6.984,-10.943,11.953,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+400,24.242,0.000,6.733,-10.239,12.005,0.253,0.788,0.833,0.879,0.924,0.970,0.253,0.789,0.837,0.884,0.932,0.979
K89+425,24.135,0.000,6.820,-11.145,11.398,0.252,0.786,0.829,0.872,0.915,0.958,0.253,0.791,0.839,0.888,0.936,0.985
K89+450,24.235,0.000,6.689,-10.792,11.258,0.252,0.784,0.825,0.866,0.906,0.947,0.253,0.792,0.842,0.892,0.943,0.993
K89+475,22.815,0.000,6.660,-11.172,10.687,0.252,0.784,0.825,0.865,0.906,0.947,0.253,0.792,0.842,0.893,0.943,0.993
K89+500,24.998,0.000,6.801,-11.301,11.249,0.252,0.784,0.825,0.865,0.906,0.947,0.253,0.792,0.842,0.893,0.943,0.993
K89+525,21.965,0.000,6.609,-10.951,10.901,0.252,0.784,0.825,0.865,0.906,0.947,0.253,0.792,0.842,0.893,0.943,0.993
K89+550,23.984,0.000,6.295,-10.456,10.396,0.252,0.785,0.826,0.868,0.910,0.952,0.253,0.791,0.841,0.890,0.940,0.989
K89+575,26.816,0.000,6.428,-10.563,10.739,0.252,0.787,0.831,0.875,0.919,0.963,0.253,0.790,0.838,0.886,0.934,0.982
K89+600,27.856,0.000,6.465,-10.614,10.812,0.253,0.789,0.836,0.882,0.929,0.975,0.253,0.789,0.837,0.884,0.932,0.979
K89+625,29.076,0.000,6.634,-10.840,11.133,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+650,29.758,0.000,6.996,-10.979,12.015,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+675,30.391,0.000,6.914,-11.173,11.581,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+700,29.531,0.000,7.052,-11.551,11.736,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.836,0.882,0.929,0.975
K89+725,30.048,0.000,7.329,-11.474,12.617,0.253,0.790,0.838,0.886,0.934,0.982,0.252,0.787,0.831,0.875,0.919,0.963
K89+750,27.212,0.000,7.238,-11.028,12.710,0.253,0.791,0.841,0.890,0.940,0.989,0.252,0.785,0.827,0.868,0.910,0.952
K89+775,25.445,0.000,7.064,-10.858,12.336,0.253,0.792,0.842,0.893,0.943,0.993,0.252,0.784,0.825,0.865,0.906,0.947
K89+800,19.893,0.000,6.739,-9.942,12.057,0.253,0.792,0.842,0.893,0.943,0.993,0.252,0.784,0.825,0.865,0.906,0.947
K89+825,16.771,0.000,6.550,-9.960,11.648,0.253,0.792,0.842,0.893,0.943,0.993,0.252,0.784,0.825,0.865,0.906,0.947
K89+850,13.176,0.000,6.331,-9.742,11.169,0.253,0.791,0.840,0.889,0.938,0.987,0.252,0.785,0.828,0.870,0.913,0.955
K89+875,9.034,0.161,5.994,-9.401,10.416,0.253,0.790,0.837,0.885,0.932,0.980,0.252,0.787,0.832,0.877,0.922,0.967
K89+900,4.715,0.803,5.843,-9.182,10.117,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K89+925,2.440,0.000,4.106,-6.694,6.928,0.253,0.789,0.836,0.883,0.930,0.977,0.253,0.789,0.837,0.884,0.932,0.979
K89+950,1.074,0.304,4.011,-6.662,6.674,0.252,0.787,0.831,0.876,0.920,0.965,0.253,0.790,0.838,0.885,0.933,0.981
K89+975,0.436,1.781,4.425,-8.064,6.425,0.252,0.785,0.827,0.869,0.911,0.953,0.253,0.791,0.841,0.890,0.940,0.989
K90+000,0.544,2.032,4.914,-9.833,6.145,0.252,0.784,0.824,0.864,0.904,0.945,0.253,0.793,0.844,0.895,0.946,0.997
K90+025,0.030,2.333,3.794,-6.630,5.931,0.252,0.784,0.824,0.864,0.904,0.945,0.253,0.793,0.844,0.895,0.946,0.997
K90+050,0.005,2.371,3.647,-6.264,5.815,0.252,0.784,0.825,0.866,0.906,0.947,0.253,0.792,0.843,0.893,0.944,0.994
K90+075,0.209,1.606,3.744,-6.448,5.953,0.252,0.786,0.829,0.872,0.915,0.958,0.253,0.791,0.839,0.888,0.937,0.986
